"","time","particle","mass","x","y","z","vx","vy","vz","p_x","p_y","p_z"
"242",2.41,"m1",1,90.176384,-13.047524,0,-8.135534,-43.931886,0,-8.135534,-43.931886,0
"243",2.42,"m1",1,90.094691,-13.48867,0,-8.169362,-44.114555,0,-8.169362,-44.114555,0
"244",2.43,"m1",1,90.012659,-13.931642,0,-8.20319,-44.297224,0,-8.20319,-44.297224,0
"245",2.44,"m1",1,89.930289,-14.376441,0,-8.237017,-44.479893,0,-8.237017,-44.479893,0
"246",2.45,"m1",1,89.84758,-14.823067,0,-8.270845,-44.662562,0,-8.270845,-44.662562,0
"247",2.46,"m1",1,89.764534,-15.271519,0,-8.304672,-44.845231,0,-8.304672,-44.845231,0
"248",2.47,"m1",1,89.681149,-15.721798,0,-8.3385,-45.0279,0,-8.3385,-45.0279,0
"249",2.48,"m1",1,89.597425,-16.173904,0,-8.372328,-45.210569,0,-8.372328,-45.210569,0
"250",2.49,"m1",1,89.513364,-16.627836,0,-8.406155,-45.393238,0,-8.406155,-45.393238,0
"251",2.5,"m1",1,89.428964,-17.083595,0,-8.439983,-45.575907,0,-8.439983,-45.575907,0
"252",2.51,"m1",1,89.344226,-17.541181,0,-8.47381,-45.758576,0,-8.47381,-45.758576,0
"253",2.52,"m1",1,89.259149,-18.000593,0,-8.507638,-45.941245,0,-8.507638,-45.941245,0
"254",2.53,"m1",1,89.173735,-18.461832,0,-8.541466,-46.123914,0,-8.541466,-46.123914,0
"255",2.54,"m1",1,89.087982,-18.924898,0,-8.575293,-46.306583,0,-8.575293,-46.306583,0
"256",2.55,"m1",1,89.001891,-19.389791,0,-8.609121,-46.489252,0,-8.609121,-46.489252,0
"257",2.56,"m1",1,88.915461,-19.85651,0,-8.642948,-46.671921,0,-8.642948,-46.671921,0
"258",2.57,"m1",1,88.828693,-20.325056,0,-8.676776,-46.85459,0,-8.676776,-46.85459,0
"259",2.58,"m1",1,88.741587,-20.795428,0,-8.710603,-47.037259,0,-8.710603,-47.037259,0
