"","time","particle","mass","x","y","z","vx","vy","vz","p_x","p_y","p_z"
"230",2.29,"m1",1,0.940946,-0.338557,0,0.000374,0.001041,0,0.000374,0.001041,0
"231",2.3,"m1",1,0.940637,-0.339415,0,-0.030906,-0.085772,0,-0.030906,-0.085772,0
"232",2.31,"m1",1,0.940013,-0.341139,0,-0.062402,-0.172442,0,-0.062402,-0.172442,0
"233",2.32,"m1",1,0.939069,-0.343728,0,-0.094343,-0.258851,0,-0.094343,-0.258851,0
"234",2.33,"m1",1,0.9378,-0.347177,0,-0.126955,-0.344878,0,-0.126955,-0.344878,0
"235",2.34,"m1",1,0.936195,-0.351481,0,-0.16046,-0.430399,0,-0.16046,-0.430399,0
"236",2.35,"m1",1,0.934244,-0.356633,0,-0.195077,-0.515284,0,-0.195077,-0.515284,0
"237",2.36,"m1",1,0.931934,-0.362627,0,-0.23102,-0.599398,0,-0.23102,-0.599398,0
"238",2.37,"m1",1,0.929249,-0.369453,0,-0.268495,-0.682599,0,-0.268495,-0.682599,0
"239",2.38,"m1",1,0.926172,-0.377101,0,-0.307702,-0.764735,0,-0.307702,-0.764735,0
"240",2.39,"m1",1,0.922684,-0.385557,0,-0.348832,-0.845648,0,-0.348832,-0.845648,0
"241",2.4,"m1",1,0.918763,-0.394809,0,-0.392067,-0.92517,0,-0.392067,-0.92517,0
"242",2.41,"m1",1,0.914387,-0.40484,0,-0.437577,-1.00312,0,-0.437577,-1.00312,0
"243",2.42,"m1",1,0.909532,-0.415633,0,-0.485519,-1.079312,0,-0.485519,-1.079312,0
"244",2.43,"m1",1,0.904172,-0.427169,0,-0.536036,-1.153546,0,-0.536036,-1.153546,0
"245",2.44,"m1",1,0.898279,-0.439425,0,-0.589257,-1.225611,0,-0.589257,-1.225611,0
"246",2.45,"m1",1,0.891826,-0.452378,0,-0.645292,-1.295287,0,-0.645292,-1.295287,0
"247",2.46,"m1",1,0.884784,-0.466001,0,-0.704233,-1.362344,0,-0.704233,-1.362344,0
"248",2.47,"m1",1,0.877123,-0.480267,0,-0.766152,-1.42654,0,-0.766152,-1.42654,0
"249",2.48,"m1",1,0.868812,-0.495143,0,-0.831099,-1.487626,0,-0.831099,-1.487626,0
"250",2.49,"m1",1,0.859821,-0.510596,0,-0.8991,-1.545345,0,-0.8991,-1.545345,0
"251",2.5,"m1",1,0.850119,-0.526591,0,-0.970156,-1.59943,0,-0.970156,-1.59943,0
"252",2.51,"m1",1,0.839677,-0.543087,0,-1.044241,-1.649613,0,-1.044241,-1.649613,0
"253",2.52,"m1",1,0.828464,-0.560043,0,-1.121302,-1.69562,0,-1.121302,-1.69562,0
"254",2.53,"m1",1,0.816451,-0.577415,0,-1.201256,-1.737175,0,-1.201256,-1.737175,0
"255",2.54,"m1",1,0.803611,-0.595155,0,-1.283989,-1.774003,0,-1.283989,-1.774003,0
"256",2.55,"m1",1,0.789918,-0.613213,0,-1.369357,-1.805832,0,-1.369357,-1.805832,0
"257",2.56,"m1",1,0.775346,-0.631537,0,-1.457183,-1.832395,0,-1.457183,-1.832395,0
"258",2.57,"m1",1,0.759873,-0.650071,0,-1.547258,-1.853436,0,-1.547258,-1.853436,0
"259",2.58,"m1",1,0.74348,-0.668758,0,-1.639341,-1.868708,0,-1.639341,-1.868708,0
"260",2.59,"m1",1,0.726148,-0.687538,0,-1.733158,-1.877979,0,-1.733158,-1.877979,0
"261",2.6,"m1",1,0.707864,-0.706349,0,-1.828403,-1.881037,0,-1.828403,-1.881037,0
