"","time","particle","mass","x","y","z","vx","vy","vz","px","py","pz"
"207",1.03,"m1",1,-0.962914,0,-0.269808,-0.345747,0,1.204817,-0.345747,0,1.204817
"208",1.03,"m2",1,-1.862249,0,0.167453,2.250619,0,7.006904,2.250619,0,7.006904
"209",1.04,"m1",1,-0.965975,0,-0.258635,-0.306106,0,1.117331,-0.306106,0,1.117331
"210",1.04,"m2",1,-1.83598,0,0.234409,2.626888,0,6.695567,2.626888,0,6.695567
"211",1.05,"m1",1,-0.968671,0,-0.248349,-0.269551,0,1.028603,-0.269551,0,1.028603
"212",1.05,"m2",1,-1.806177,0,0.298078,2.980229,0,6.366931,2.980229,0,6.366931
"213",1.06,"m1",1,-0.971029,0,-0.238961,-0.235853,0,0.938796,-0.235853,0,0.938796
"214",1.06,"m2",1,-1.773072,0,0.358307,3.310589,0,6.022818,3.310589,0,6.022818
"215",1.07,"m1",1,-0.973077,0,-0.23048,-0.204779,0,0.848056,-0.204779,0,0.848056
"216",1.07,"m2",1,-1.736891,0,0.414956,3.618018,0,5.664935,3.618018,0,5.664935
"217",1.08,"m1",1,-0.974838,0,-0.222915,-0.176086,0,0.756517,-0.176086,0,0.756517
"218",1.08,"m2",1,-1.697865,0,0.467905,3.902644,0,5.294888,3.902644,0,5.294888
"219",1.09,"m1",1,-0.976333,0,-0.216272,-0.149527,0,0.6643,-0.149527,0,0.6643
"220",1.09,"m2",1,-1.656218,0,0.517047,4.164657,0,4.914183,4.164657,0,4.914183
"221",1.1,"m1",1,-0.977582,0,-0.210557,-0.124847,0,0.571516,-0.124847,0,0.571516
"222",1.1,"m2",1,-1.612175,0,0.562289,4.404291,0,4.524243,4.404291,0,4.524243
"223",1.11,"m1",1,-0.9786,0,-0.205774,-0.101788,0,0.478265,-0.101788,0,0.478265
"224",1.11,"m2",1,-1.565957,0,0.603553,4.621811,0,4.126418,4.621811,0,4.126418
"225",1.12,"m1",1,-0.9794,0,-0.201928,-0.080091,0,0.384638,-0.080091,0,0.384638
"226",1.12,"m2",1,-1.517782,0,0.640773,4.817509,0,3.722004,4.817509,0,3.722004
"227",1.13,"m1",1,-0.979995,0,-0.199021,-0.05949,0,0.290722,-0.05949,0,0.290722
"228",1.13,"m2",1,-1.467865,0,0.673896,4.991691,0,3.312249,4.991691,0,3.312249
"229",1.14,"m1",1,-0.980393,0,-0.197055,-0.03972,0,0.196596,-0.03972,0,0.196596
"230",1.14,"m2",1,-1.416418,0,0.702879,5.144686,0,2.898376,5.144686,0,2.898376
"231",1.15,"m1",1,-0.980598,0,-0.196031,-0.020513,0,0.102335,-0.020513,0,0.102335
"232",1.15,"m2",1,-1.36365,0,0.727695,5.276841,0,2.481587,5.276841,0,2.481587
"233",1.16,"m1",1,-0.980614,0,-0.195951,-0.001602,0,0.008014,-0.001602,0,0.008014
"234",1.16,"m2",1,-1.309765,0,0.748326,5.388527,0,2.063079,5.388527,0,2.063079
"235",1.17,"m1",1,-0.980441,0,-0.196814,0.017283,0,-0.086295,0.017283,0,-0.086295
"236",1.17,"m2",1,-1.254963,0,0.764767,5.48015,0,1.644048,5.48015,0,1.644048
"237",1.18,"m1",1,-0.980077,0,-0.198619,0.03641,0,-0.180519,0.03641,0,-0.180519
"238",1.18,"m2",1,-1.199442,0,0.777024,5.552155,0,1.225699,5.552155,0,1.225699
"239",1.19,"m1",1,-0.979516,0,-0.201365,0.056047,0,-0.274582,0.056047,0,-0.274582
"240",1.19,"m2",1,-1.143391,0,0.785116,5.605041,0,0.809242,5.605041,0,0.809242
"241",1.2,"m1",1,-0.978752,0,-0.205049,0.076458,0,-0.368406,0.076458,0,-0.368406
"242",1.2,"m2",1,-1.086998,0,0.789075,5.639366,0,0.395898,5.639366,0,0.395898
"243",1.21,"m1",1,-0.977773,0,-0.209668,0.097909,0,-0.461906,0.097909,0,-0.461906
"244",1.21,"m2",1,-1.03044,0,0.788944,5.655764,0,-0.013109,5.655764,0,-0.013109
"245",1.22,"m1",1,-0.976566,0,-0.215218,0.120659,0,-0.554992,0.120659,0,-0.554992
"246",1.22,"m2",1,-0.973891,0,0.784778,5.654947,0,-0.416561,5.654947,0,-0.416561
"247",1.23,"m1",1,-0.975116,0,-0.221694,0.144967,0,-0.647566,0.144967,0,-0.647566
"248",1.23,"m2",1,-0.917513,0,0.776646,5.637718,0,-0.813251,5.637718,0,-0.813251
"249",1.24,"m1",1,-0.973405,0,-0.229089,0.171085,0,-0.739519,0.171085,0,-0.739519
"250",1.24,"m2",1,-0.861464,0,0.764626,5.604977,0,-1.202,5.604977,0,-1.202
"251",1.25,"m1",1,-0.971413,0,-0.237396,0.19926,0,-0.830733,0.19926,0,-0.830733
"252",1.25,"m2",1,-0.805886,0,0.748809,5.557717,0,-1.581674,5.557717,0,-1.581674
"253",1.26,"m1",1,-0.969116,0,-0.246607,0.229734,0,-0.921079,0.229734,0,-0.921079
"254",1.26,"m2",1,-0.750916,0,0.729297,5.497031,0,-1.951193,5.497031,0,-1.951193
"255",1.27,"m1",1,-0.966488,0,-0.256711,0.262739,0,-1.010412,0.262739,0,-1.010412
"256",1.27,"m2",1,-0.696675,0,0.706202,5.424103,0,-2.30956,5.424103,0,-2.30956
