"","time","particle","mass","x","y","z","vx","vy","vz","px","py","pz","ke","pe","te"
"144",0.71,"m2",1,-0.23401,0,-1.87309,-9.965055,0,0.006612,-9.965055,0,0.006612,49.6511824357845,-18.3750129,31.2761695357845
"145",0.72,"m1",1,-0.478428,0,-0.878127,-3.35277,0,1.745332,-3.35277,0,1.745332,7.143625231562,-8.61442587,-1.470800638438
"146",0.72,"m2",1,-0.334573,0,-1.867725,-10.056332,0,0.53642,-10.056332,0,0.53642,50.708779855312,-18.32238225,32.386397605312
"147",0.73,"m1",1,-0.510796,0,-0.859702,-3.236771,0,1.842466,-3.236771,0,1.842466,6.9356837337985,-8.43367662,-1.4979928862015
"148",0.73,"m2",1,-0.435624,0,-1.856873,-10.105104,0,1.085282,-10.105104,0,1.085282,51.64548193517,-18.21592413,33.42955780517
"149",0.74,"m1",1,-0.541966,0,-0.840401,-3.116971,0,1.930134,-3.116971,0,1.930134,6.7204627363985,-8.24433381,-1.5238710736015
"150",0.74,"m2",1,-0.53671,0,-1.840387,-10.10858,0,1.648575,-10.10858,0,1.648575,52.4505945735125,-18.05419647,34.3963981035125
"151",0.75,"m1",1,-0.571907,0,-0.820319,-2.994139,0,2.008219,-2.994139,0,2.008219,6.498905951641,-8.04732939,-1.548423438359
"152",0.75,"m2",1,-0.637356,0,-1.818174,-10.064585,0,2.221245,-10.064585,0,2.221245,53.114900286125,-17.83628694,35.278613346125
"153",0.76,"m1",1,-0.600597,0,-0.799552,-2.869027,0,2.076676,-2.869027,0,2.076676,6.2719495678525,-7.84360512,-1.5716555521475
"154",0.76,"m2",1,-0.737072,0,-1.790195,-9.971626,0,2.797914,-9.971626,0,2.797914,53.630823917636,-17.56181295,36.069010967636
"155",0.77,"m1",1,-0.628021,0,-0.778197,-2.742366,0,2.135525,-2.742366,0,2.135525,6.0405191517905,-7.63411257,-1.5935934182095
"156",0.77,"m2",1,-0.835361,0,-1.756465,-9.828947,0,3.372997,-9.828947,0,3.372997,53.992653945409,-17.23092165,36.761732295409
"157",0.78,"m1",1,-0.654169,0,-0.756348,-2.614859,0,2.184848,-2.614859,0,2.184848,5.8055241864925,-7.41977388,-1.6142496935075
"158",0.78,"m2",1,-0.931727,0,-1.717057,-9.636554,0,3.940828,-9.636554,0,3.940828,54.19664916025,-16.84432917,37.35231999025
"159",0.79,"m1",1,-0.679041,0,-0.7341,-2.487174,0,2.224785,-2.487174,0,2.224785,5.5678514012505,-7.201521,-1.6336695987495
"160",0.79,"m2",1,-1.025679,0,-1.672099,-9.395216,0,4.495786,-9.395216,0,4.495786,54.241087722226,-16.40329119,37.837796532226
"161",0.8,"m1",1,-0.702641,0,-0.711545,-2.359944,0,2.255528,-2.359944,0,2.255528,5.32837112096,-6.98025645,-1.65188532904
"162",0.8,"m2",1,-1.116744,0,-1.621775,-9.106446,0,5.032423,-9.106446,0,5.032423,54.1263200009225,-15.90961275,38.2167072509225
"163",0.81,"m1",1,-0.724978,0,-0.688772,-2.233759,0,2.277311,-2.233759,0,2.277311,5.087912330401,-6.75685332,-1.668940989599
"164",0.81,"m2",1,-1.204468,0,-1.566319,-8.772458,0,5.545578,-8.772458,0,5.545578,53.854727357924,-15.36558939,38.489137967924
"165",0.82,"m1",1,-0.74607,0,-0.665868,-2.109164,0,2.290412,-2.109164,0,2.290412,4.84727995432,-6.53216508,-1.68488512568
"166",0.82,"m2",1,-1.288429,0,-1.506014,-8.396098,0,6.030483,-8.396098,0,6.030483,53.4305934194465,-14.77399734,38.6565960794465
"167",0.83,"m1",1,-0.765936,0,-0.642916,-1.98666,0,2.29514,-1.98666,0,2.29514,4.6072427876,-6.30700596,-1.6997631724
"168",0.83,"m2",1,-1.368237,0,-1.441186,-7.980767,0,6.48285,-7.980767,0,6.48285,52.8599930153945,-14.13803466,38.7219583553945
"169",0.84,"m1",1,-0.784603,0,-0.619998,-1.866698,0,2.291835,-1.866698,0,2.291835,4.3685345452145,-6.08218038,-1.7136458347855
"170",0.84,"m2",1,-1.44354,0,-1.372196,-7.530325,0,6.898943,-7.530325,0,6.898943,52.150604561437,-13.46124276,38.689361801437
"171",0.85,"m1",1,-0.8021,0,-0.597189,-1.749683,0,2.280856,-1.749683,0,2.280856,4.1318473466125,-5.85842409,-1.7265767433875
"172",0.85,"m2",1,-1.51403,0,-1.29944,-7.048994,0,7.275631,-7.048994,0,7.275631,51.3115614300985,-12.7475064,38.5640550300985
"173",0.86,"m1",1,-0.81846,0,-0.574564,-1.63597,0,2.262583,-1.63597,0,2.262583,3.8978398363945,-5.63647284,-1.7386330036055
"174",0.86,"m2",1,-1.579442,0,-1.223336,-6.541245,0,7.61041,-6.541245,0,7.61041,50.3531132590625,-12.00092616,38.3521870990625
"175",0.87,"m1",1,-0.833719,0,-0.552189,-1.525867,0,2.237407,-1.525867,0,2.237407,3.667130092669,-5.41697409,-1.749843997331
"176",0.87,"m2",1,-1.639559,0,-1.144322,-6.011698,0,7.901422,-6.011698,0,7.901422,49.286491232644,-11.22579882,38.060692412644
"177",0.88,"m1",1,-0.847915,0,-0.530132,-1.419634,0,2.205726,-1.419634,0,2.205726,3.440293940516,-5.20059492,-1.760300979484
"178",0.88,"m2",1,-1.69421,0,-1.062847,-5.465018,0,8.147439,-5.465018,0,8.147439,48.1235919995225,-10.42652907,37.6970629295225
"179",0.89,"m1",1,-0.86109,0,-0.508453,-1.317487,0,2.167941,-1.317487,0,2.167941,3.217870087325,-4.98792393,-1.770053842675
"180",0.89,"m2",1,-1.743268,0,-0.979369,-4.905824,0,8.347843,-4.905824,0,8.347843,46.8767959358125,-9.60760989,37.2691860458125
